t,ax,ay,az,gx,gy,gz,temp
348,0.033476,0.026302,9.810738,0.002128,-0.004257,0.005321,26.5
349,0.038258,0.011956,9.767698,0.005321,-0.002128,0.003193,26.5
350,0.02152,-0.009564,9.848996,0.005321,0.001064,0.00745,26.5
351,0.069342,0.014347,9.801173,0.00745,-0.003193,-0.002128,26.6875
352,0.054996,-0.011956,9.88008,0.001064,-0.001064,-0.003193,26.6875
353,0.066951,0.016738,9.872907,0.008514,-0.005321,0,26.6875
354,0.081298,0.004782,9.899209,0.00745,-0.004257,0.005321,26.5625
355,0.038258,0.009564,9.908773,0.006385,-0.00745,-0.004257,26.6875
356,0.031084,0.014347,9.884862,0.00745,-0.001064,0.001064,26.375
357,0.026302,0.033476,9.860951,0.005321,-0.003193,0.004257,26.5
358,0.023911,0.026302,9.875298,0.004257,0.001064,0.006385,26.625
359,-0.031084,0.014347,9.88008,0.004257,-0.001064,0.008514,26.5
360,-0.002391,0.007173,9.894427,0.001064,-0.003193,0,26.625
361,0.011956,0.007173,9.822693,0.006385,-0.005321,0.002128,26.4375
362,-0.004782,0.031084,9.848996,0,0.005321,0.002128,26.625
363,0.002391,0.047822,9.846604,-0.001064,-0.003193,0.005321,26.625
364,0.04304,0.023911,9.822693,0.001064,-0.001064,0.005321,26.3125
365,0.033476,0.004782,9.827476,0.009578,-0.006385,-0.001064,26.625
366,0.047822,0.02152,9.832258,0.00745,-0.005321,-0.002128,26.5625
367,0.052604,-0.007173,9.846604,-0.001064,-0.006385,0.001064,26.5625
368,0.098036,-0.016738,9.889645,0.006385,-0.002128,0,26.375
369,0.045431,-0.011956,9.860951,0,0.004257,0.008514,26.6875
370,0.074125,-0.009564,9.877689,0.003193,0,0,26.5
371,0.066951,-0.009564,9.872907,0.006385,-0.002128,0.002128,26.5
372,0.052604,0.031084,9.846604,0,-0.006385,0.003193,26.5625
373,0.040649,0.016738,9.908773,0.001064,-0.002128,0,26.6875
374,0.031084,-0.009564,9.877689,0.005321,-0.004257,0.001064,26.3125
375,0.02152,0.023911,9.958987,0.002128,-0.001064,0.00745,26.625
