t,ax,ay,az,gx,gy,gz,temp
0.294,-0.033476,0.026302,9.853778,0.003193,0.003193,0,26.3125
0.295,-0.014347,0.059778,9.817911,0.001064,0.004257,0.004257,26.5625
0.296,-0.031084,0.007173,9.798782,-0.004257,0.002128,0.006385,26.6875
0.297,0.035867,0.038258,9.810738,0.006385,-0.004257,0.002128,26.5625
0.298,0.026302,0.038258,9.817911,0.003193,-0.003193,-0.002128,26.5
0.299,-0.031084,0.031084,9.844213,0.001064,0.003193,0.002128,26.8125
0.3,0.019129,0.035867,9.801173,0.002128,0.002128,0.003193,26.8125
0.301,0.083689,0.011956,9.889645,0.005321,-0.006385,0.009578,26.5625
0.302,0.066951,0.040649,9.870516,0.003193,0.002128,0.001064,26.625
0.303,0.059778,0.040649,9.884862,0.006385,0.002128,0.001064,26.6875
0.304,0.066951,-0.007173,9.915947,0.00745,-0.001064,0.006385,26.6875
0.305,0.019129,0.054996,9.887253,0.003193,-0.002128,0.001064,26.5
0.306,0.06456,0.035867,9.911165,0.005321,-0.005321,-0.005321,26.625
0.307,0.062169,0.016738,9.868125,0.004257,-0.005321,-0.001064,26.3125
0.308,0.007173,0.026302,9.906382,0.006385,-0.001064,0.003193,26.75
0.309,0.040649,-0.014347,9.868125,0.003193,0.002128,0.006385,26.5
0.31,0.02152,0.066951,9.892036,0.001064,0.004257,0.004257,26.625
0.311,0.031084,0.04304,9.884862,0.00745,-0.004257,0.002128,26.625
0.312,0.002391,0.040649,9.853778,0,-0.005321,-0.001064,26.4375
0.313,-0.007173,0.038258,9.829867,0.001064,-0.006385,0.006385,26.6875
0.314,0.028693,-0.002391,9.81552,0.003193,-0.001064,0.001064,26.4375
0.315,0.02152,0.002391,9.841822,0.00745,-0.001064,0.002128,26.5
0.316,0.069342,0.028693,9.865733,0.003193,-0.001064,-0.005321,26.4375
0.317,0.076516,0.016738,9.863342,0.005321,0.001064,0.003193,26.6875
0.318,0.023911,0.014347,9.839431,0.009578,-0.001064,0.004257,26.5625
0.319,0.093253,0.014347,9.841822,0.002128,-0.002128,-0.001064,26.6875
0.32,0.105209,0.050213,9.872907,0.003193,0.002128,0.001064,26.3125
0.321,0.105209,0.007173,9.906382,0.005321,-0.004257,-0.001064,26.4375
0.322,0.057387,-0.026302,9.920729,0.003193,-0.004257,0.002128,26.5625
0.323,0.023911,0.050213,9.927902,0.008514,-0.008514,0.002128,26.5625
0.324,0.028693,0.040649,9.892036,0.005321,-0.005321,0.003193,26.5625
0.325,0.033476,0.050213,9.911165,0.005321,-0.008514,0.002128,26.5625
0.326,0,0.04304,9.88008,0.006385,-0.005321,0.002128,26.5
0.327,-0.028693,0.016738,9.903991,0.001064,-0.002128,-0.003193,26.75
0.328,-0.009564,0.059778,9.865733,0.008514,-0.008514,-0.001064,26.5625
0.329,0.019129,0.026302,9.906382,0,-0.00745,0.004257,26.6875
0.33,0,0.050213,9.817911,0.003193,-0.003193,-0.003193,26.4375
0.331,0.047822,0.04304,9.848996,0.001064,-0.005321,0.001064,26.5
0.332,0.035867,0.011956,9.892036,0,-0.004257,0.004257,26.6875
0.333,0.062169,-0.002391,9.872907,0.005321,-0.005321,0,26.375
0.334,0.069342,-0.011956,9.906382,0.00745,0.001064,-0.002128,26.625
0.335,0.052604,0.035867,9.853778,0.003193,-0.005321,0,26.625
0.336,0.083689,0.02152,9.860951,0.004257,0.001064,0,26.375
0.337,0.076516,0.023911,9.872907,0.004257,-0.003193,0.004257,26.5
0.338,0.04304,-0.011956,9.863342,0.005321,-0.004257,0.001064,26.5625
0.339,0.071733,0.02152,9.892036,0.008514,-0.006385,0.008514,26.6875
0.34,0.047822,0.007173,9.911165,0.004257,-0.00745,-0.003193,26.5625
0.341,0.040649,-0.026302,9.899209,0.004257,-0.003193,0.003193,26.6875
0.342,0.026302,0.028693,9.925511,0.00745,-0.004257,0.009578,26.5
0.343,0.004782,0.026302,9.870516,-0.001064,-0.004257,-0.001064,26.3125
0.344,0.007173,0.016738,9.927902,-0.004257,0,0.006385,26.5
0.345,0.057387,0.026302,9.851387,0.004257,-0.003193,0.002128,26.5625
0.346,-0.04304,0.040649,9.844213,0.001064,-0.00745,-0.004257,26.3125
0.347,0.009564,-0.004782,9.884862,-0.002128,0.003193,0.003193,26.625
0.348,0.033476,0.026302,9.810738,0.002128,-0.004257,0.005321,26.5
0.349,0.038258,0.011956,9.767698,0.005321,-0.002128,0.003193,26.5
0.35,0.02152,-0.009564,9.848996,0.005321,0.001064,0.00745,26.5
0.351,0.069342,0.014347,9.801173,0.00745,-0.003193,-0.002128,26.6875
0.352,0.054996,-0.011956,9.88008,0.001064,-0.001064,-0.003193,26.6875
0.353,0.066951,0.016738,9.872907,0.008514,-0.005321,0,26.6875
0.354,0.081298,0.004782,9.899209,0.00745,-0.004257,0.005321,26.5625
0.355,0.038258,0.009564,9.908773,0.006385,-0.00745,-0.004257,26.6875
